time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.0063292707244995e-07,1.6737852679045208e-07,10.004007103069615,0.00016744495824472239,0.0001951756310170083,0.0,-1.7861734975867545e-05,1.5086505149231065e-05,0.1335630715091912,0.007858038354455851,0.009073159768385108,0.0,446.64671969587516,447.38588860607433,447.50830655248757,448.1473202888254
0.12000000000000001,-8.503585741537775e-06,7.79092314095913e-06,10.017743319909009,0.0011773246943223015,0.00023572708284280708,0.0,-0.0003051149495958019,0.00032946491369408514,0.32427533183025836,0.030503719202196296,-0.026908925969040286,0.0,465.8113785159579,462.98951810248957,464.36312648655684,466.13579019326204
0.18,-2.5466567445960727e-05,6.375385679755315e-05,10.043422869280818,0.0029920744852338643,6.281344698766029,0.0,-5.229552138816078e-05,0.0017507463242330008,0.5316352434792706,0.029725089372086337,-0.05810284427805758,0.0,471.7503841427858,469.33527782674685,469.22717642195875,469.1669800589392
0.23999999999999996,1.984580088249182e-05,0.00023436334813942518,10.077385904624572,0.004824605274194482,6.278357869451961,0.0,0.0018741619860844904,0.004112243867671781,0.6004303079093397,0.03212795376504705,-0.03689060352779206,0.0,426.42036104433856,428.226490915871,426.96267203585893,427.1679456218844
0.3,0.00024961306838941233,0.0005978295311570971,10.118169424742117,0.007203790212122918,6.2762309457011085,0.0,0.006024273430995599,0.008244601442578424,0.7589253877155018,0.051555010315420764,-0.032711165186652874,0.0,455.2031899710628,455.5369495017328,454.8217616120809,456.3755202741381
0.36000000000000004,0.0007655829158570823,0.0012574889330081536,10.16725314526177,0.010376941520986449,6.274796967047861,0.0,0.011347587857634105,0.01407154832508221,0.8771108722085152,0.055421957067018024,-0.010419550836010538,0.0,442.25874245424916,444.0906019140029,443.168444188657,443.4879706912593
0.4200000000000001,0.0016314917540007844,0.0023409325150033724,10.223985373538762,0.013462251437538875,6.274218353572397,0.0,0.017579705380444743,0.022388012661628272,1.01384710507828,0.04190147592115867,-0.008135052390366349,0.0,450.16083489708797,450.34575774797554,448.73779855272716,447.6406998203604
0.48000000000000015,0.0028420997118602832,0.00392434546691496,10.284403728796125,0.01580696486595201,6.274133151598274,0.0,0.022796205680580064,0.03060005868797213,1.000106968848365,0.03273394849968185,0.009437400476149535,0.0,399.373916716576,400.97333778839084,400.80576113311935,399.9727460901978
0.5400000000000001,0.0043863811940570395,0.006080283707666412,10.346533545994987,0.017821810522518966,6.2751404921739,0.0,0.02859943059341154,0.04145782416512806,1.070820292898348,0.03522243391912527,0.0284722163552071,0.0,428.07312390629903,429.6895873583809,428.1502346531943,428.3623741388153
0.6000000000000002,0.006263651748491791,0.008948763004519156,10.414010617168387,0.020420036400791375,6.2769826929070796,0.0,0.03379195997519703,0.05440275289639601,1.1783069169725624,0.05589962657342781,0.034828184790001035,0.0,440.76660031730984,441.29183319895105,439.06581106441735,440.77875842612247
0.6600000000000003,0.008436092482021566,0.012737434056104054,10.491963980799678,0.02400480615430034,6.278709992744254,0.0,0.038381329668283455,0.0723082413274513,1.4198618286838853,0.06649981542301611,0.012589452085958503,0.0,481.641068643457,479.9565416710014,481.0973095565274,481.9013478715072
0.7200000000000003,0.010837516022761381,0.017638579430768457,10.582239263058105,0.0277827406255291,6.279509656320814,0.0,0.04157777763579864,0.0914948923996644,1.5890828174059888,0.05475029309220552,0.014764805178828708,0.0,459.5370913051662,459.7093567469407,461.6066436714345,460.6812973563578
0.7800000000000004,0.013415821323742529,0.023804514290492348,10.68374206522232,0.030676117862692642,6.280029342770312,0.0,0.04427701704644432,0.11439651409608559,1.7940336047546661,0.03011674752264087,-0.007782147923564889,0.0,473.9502644538861,472.2142484581779,470.9494165363144,469.04157248211544
0.8400000000000004,0.016138298400874867,0.031298003824168474,10.794026693212885,0.03261506129055469,6.279460226502156,0.0,0.04652343748595347,0.1355696870535894,1.8819724585166973,0.03638539210240241,-0.013129855559383511,0.0,436.52006551185747,436.07372967067136,436.1090942778999,436.6327536660692
0.9000000000000005,0.019001340713825986,0.0400457870579578,10.907873141238777,0.03461628812493345,6.2789686080019536,0.0,0.04896846316888767,0.1562135912815709,1.912849726028151,0.02647314949231054,0.00019850819230114464,0.0,417.4241955691126,418.58572197146316,418.56931848067313,417.70635576201875
0.9600000000000005,0.0220276364829522,0.05014909073595025,11.0259096901128,0.03631111050097058,6.278952347536952,0.0,0.05190743571418367,0.18072572646007184,2.021508101976549,0.03157718631721512,-0.0012270600935206813,0.0,443.2907812492621,443.1736350104926,443.2484546953201,443.6679039069712
1.0200000000000005,0.025230359134332133,0.06175819955690307,11.15042258312378,0.038410211672212036,6.279215741922403,0.0,0.05483739877830354,0.20644315052298534,2.128718182260487,0.04105132269431143,0.013754112710876315,0.0,440.5044224025093,441.74140911670014,445.1014553853967,445.8766108971956
1.0800000000000005,0.02860122654468374,0.07496499672760616,11.281599720798527,0.04059977357786515,6.279736567268781,0.0,0.0574509680386233,0.23401843565942662,2.2436224314134203,0.02531395121234289,-0.00413367983059576,0.0,446.87388647430504,445.41335989060735,446.8230852681883,445.53890889975236
1.1400000000000006,0.032113074871020116,0.08976421520558446,11.417090528998907,0.042898498108798755,6.279328982556853,0.0,0.05963985894481532,0.2594671788760256,2.272670081017785,0.05630162981520345,-0.012727470533454351,0.0,418.5796219898012,417.83120358799124,418.4687879244133,421.1581961495021
